 1 puckman           "PuckMan (Japan set 1)"
 1 puckmana          "PuckMan (Japan set 2)"
 1 puckmanf          "PuckMan (Japan set 1 with speedup hack)"
 1 puckmanh          "Puckman (Falcom?)"
 1 pacman            "Pac-Man (Midway)"
 1 pacmanf           "Pac-Man (Midway, with speedup hack)"
 1 puckmod           "PuckMan (Japan set 3)"
 1 pacmod            "Pac-Man (Midway, harder)"
 1 newpuc2           "Newpuc2 (set 1)"
 1 newpuc2b          "Newpuc2 (set 2)"
 1 newpuckx          "New Puck-X"
 1 pacheart          "Pac-Man (Hearts)"
 1 bucaner           "Buccaneer"
 1 hangly            "Hangly-Man (set 1)"
 1 hangly2           "Hangly-Man (set 2)"
 1 hangly3           "Hangly-Man (set 3)"
 1 popeyeman         "Popeye-Man"
 1 piranhah          "Piranha (hack)"
 1 abscam            "Abscam"
 1 crush             "Crush Roller (Kural Samno)"
 1 crushbl           "Crush Roller (bootleg)"
 1 crushbl2          "Crush Roller (bootleg?)"
 1 crush2            "Crush Roller (Kural Esco - bootleg?)"
 1 crush3            "Crush Roller (Kural - bootleg?)"
 1 crush4            "Crush Roller (Kural TWT)"
 1 maketrax          "Make Trax (set 1)"
 1 maketrxb          "Make Trax (set 2)"
 1 korosuke          "Korosuke Roller"
 1 mbrush            "Magic Brush"
 1 paintrlr          "Paint Roller"
 1 crushs            "Crush Roller (Sidam bootleg)"
 1 pacplus           "Pac-Man Plus"
 1 joyman            "Joyman"
 1 ctrpllrp          "Caterpillar Pacman Hack"
 1 eyes              "Eyes (Digitrex Techstar)"
 1 eyes2             "Eyes (Techstar)"
 1 eyeszac           "Eyes (Zaccaria)"
 1 mrtnt             "Mr. TNT"
 1 gorkans           "Gorkans"
 1 eggor             "Eggor"
 1 jumpshot          "Jump Shot"
 1 jumpshotp         "Jump Shot Engineering Sample"
 1 shootbul          "Shoot the Bull"
 1 piranha           "Piranha"
 1 piranhao          "Piranha (older)"
 1 nmouse            "Naughty Mouse (set 1)"
 1 nmouseb           "Naughty Mouse (set 2)"
 1 mspacman          "Ms. Pac-Man"
 1 mspacmnf          "Ms. Pac-Man (with speedup hack)"
 1 mspacmat          "Ms. Pac Attack"
 1 woodpeck          "Woodpecker (set 1)"
 1 woodpeca          "Woodpecker (set 2)"
 1 mspacmab          "Ms. Pac-Man (bootleg)"
 1 mspacmbe          "Ms. Pac-Man (bootleg, (encrypted))"
 1 pacgal            "Pac-Gal"
 1 mspacpls          "Ms. Pac-Man Plus"
 1 ponpoko           "Ponpoko"
 1 ponpokov          "Ponpoko (Venture Line)"
 1 lizwiz            "Lizard Wizard"
 1 alibaba           "Ali Baba and 40 Thieves"
 1 dremshpr          "Dream Shopper"
 1 vanvan            "Van-Van Car"
 1 vanvank           "Van-Van Car (Karateco set 1)"
 1 vanvanb           "Van-Van Car (Karateco set 2)"
 1 bwcasino          "Boardwalk Casino"
 1 acitya            "Atlantic City Action"
 1 theglobp          "The Glob (Pac-Man hardware)"
 1 sprglobp          "Super Glob (Pac-Man hardware)"
 1 sprglbpg          "Super Glob (Pac-Man hardware) German"
 1 beastf            "Beastie Feastie"
 1 rocktrv2          "MTV Rock-N-Roll Trivia (Part 2)"
 1 bigbucks          "Big Bucks"
 1 mschamp           "Ms. Pacman Champion Edition / Zola-Puc Gal"
 1 mschamps          "Ms. Pacman Champion Edition / Super Zola-Puc Gal"
 1 cannonbp          "Cannon Ball (Pacman Hardware)"
 1 drivfrcp          "Driving Force (Pac-Man conversion)"
 3 8bpm              "Eight Ball Action (Pac-Man conversion)"
 1 porky             "Porky"
 1 pengo             "Pengo (set 1 rev c)"
 1 pengo2            "Pengo (set 2)"
 1 pengo2u           "Pengo (set 2 not encrypted)"
 1 pengo3u           "Pengo (set 3 not encrypted)"
 1 pengo4            "Pengo (set 4)"
 1 pengob            "Pengo (bootleg)"
 1 penta             "Penta"
 1 jrpacmbl          "Jr. Pac-Man (Pengo hardware)"
 1 jrpacman          "Jr. Pac-Man"
 1 megadon           "Megadon"
 1 catapult          "Catapult"
 1 suprglob          "Super Glob"
 1 theglob           "The Glob"
 1 theglob2          "The Glob (earlier)"
 1 theglob3          "The Glob (set 3)"
 1 igmo              "IGMO"
 1 dealer            "The Dealer"
 1 revenger          "Revenger"
 1 galaxian          "Galaxian (Namco set 1)"
 1 galaxiana         "Galaxian (Namco set 2)"
 1 galaxianm         "Galaxian (Midway set 1)"
 1 galaxianmo        "Galaxian (Midway set 2)"
 1 galaxiant         "Galaxian (Taito)"
 1 superg            "Super Galaxians (galaxiana hack)"
 1 galapx            "Galaxian Part X (moonaln hack)"
 1 moonaln           "Moon Alien"
 1 galap1            "Space Invaders Galactica (galaxiana hack)"
 1 galap4            "Galaxian Part 4 (hack)"
 1 galturbo          "Galaxian Turbo (superg hack)"
 1 swarm             "Swarm (bootleg?)"
 1 zerotime          "Zero Time"
 1 starfght          "Star Fighter"
 1 galaxbsf          "Galaxian (bootleg)"
 1 kamakazi3         "Kamakazi III (superg hack)"
 1 tst_galx          "Galaxian Test ROM"
 1 gmgalax           "Ghostmuncher Galaxian (bootleg)"
 1 pisces            "Pisces"
 1 piscesb           "Pisces (bootleg)"
 1 omni              "Omni"
 1 uniwars           "UniWar S"
 1 gteikoku          "Gingateikoku No Gyakushu"
 1 gteikokb          "Gingateikoku No Gyakushu (bootleg set 1)"
 1 gteikob2          "Gingateikoku No Gyakushu (bootleg set 2)"
 1 spacbatt          "Space Battle (bootleg set 1)"
 1 spacbat2          "Space Battle (bootleg set 2)"
 1 spacempr          "Space Empire (bootleg)"
 1 skyraidr          "Sky Raider (Uniwars bootleg)"
 2 batman2           "Batman Part 2"
 1 warofbug          "War of the Bugs or Monsterous Manouvers in a Mushroom Maze"
 1 warofbugg         "War of the Bugs or Monsterous Manouvers in a Mushroom Maze (German)"
 1 redufo            "Defend the Terra Attack on the Red UFO"
 1 redufob           "Defend the Terra Attack on the Red UFO (bootleg)"
 1 exodus            "Exodus (bootleg?)"
 1 streakng          "Streaking (set 1)"
 1 streaknga         "Streaking (set 2)"
 1 pacmanbl          "Pac-Man (Galaxian hardware, set 1)"
 1 pacmanbla         "Pac-Man (Galaxian hardware, set 2)"
 2 phoenxp2          "Phoenix Part 2"
 1 atlantisb         "Battle of Atlantis (bootleg)"
 1 tenspot           "Ten Spot"
 1 devilfsg          "Devil Fish (Galaxian hardware, bootleg?)"
 1 zigzag            "Zig Zag (Galaxian hardware, set 1)"
 1 zigzag2           "Zig Zag (Galaxian hardware, set 2)"
 1 jumpbug           "Jump Bug"
 1 jumpbugb          "Jump Bug (bootleg)"
 1 levers            "Levers"
 1 azurian           "Azurian Attack"
 1 orbitron          "Orbitron"
 1 mooncrgx          "Moon Cresta (Galaxian hardware)"
 1 mooncrst          "Moon Cresta (Nichibutsu)"
 1 mooncrstu         "Moon Cresta (Nichibutsu USA, unencrypted)"
 1 mooncrsto         "Moon Cresta (Nichibutsu, old rev)"
 1 mooncrstg         "Moon Cresta (Gremlin)"
 1 mooncrstuk        "Moon Cresta (Nichibutsu UK)"
 1 smooncrs          "Super Moon Cresta"
 1 sstarcrs          "Super Star Crest"
 1 mooncmw           "Moon War (Moon Cresta bootleg)"
 1 mooncrsb          "Moon Cresta (bootleg set 1)"
 1 mooncrs2          "Moon Cresta (bootleg set 2)"
 1 spcdrag           "Space Dragon (Moon Cresta bootleg, set 1)"
 1 stera             "Steraranger (Moon Cresta bootleg)"
 1 spcdraga          "Space Dragon (Moon Cresta bootleg, set 2)"
 1 mooncrs3          "Moon Cresta (bootleg set 3)"
 1 fantazia          "Fantazia (bootleg?)"
 1 moonqsr           "Moon Quasar"
 1 mshuttle          "Moon Shuttle (US?)"
 1 mshuttle2         "Moon Shuttle (US? set 2)"
 1 mshuttlej         "Moon Shuttle (Japan)"
 1 mshuttlej2        "Moon Shuttle (Japan set 2)"
 1 moonal2           "Moon Alien Part 2"
 1 moonal2b          "Moon Alien Part 2 (older version)"
 1 supergx           "Super GX"
 1 eagle             "Eagle (set 1)"
 1 eagle2            "Eagle (set 2)"
 1 eagle3            "Eagle (set 3)"
 1 spctbird          "Space Thunderbird"
 1 skybase           "Sky Base"
 1 checkman          "Check Man"
 1 checkmanj         "Check Man (Japan)"
 1 dingo             "Dingo"
 1 dingoe            "Dingo (encrypted)"
 1 blkhole           "Black Hole"
 1 kingball          "King & Balloon (US)"
 1 kingballj         "King & Balloon (Japan)"
 1 scorpionmc        "Scorpion (Moon Cresta hardware)"
 1 frogg             "Frog (Galaxian hardware)"
 1 4in1              "4 Fun in 1"
12 bagmanmc          "Bagman (bootleg on Moon Cresta hardware)"
 3 dkongjrm          "Donkey Kong Jr. (bootleg on Moon Cresta hardware)"
 1 ozon1             "Ozon I"
 3 ladybugg          "Lady Bug (bootleg on Galaxian hardware)"
 1 vpool             "Video Pool (bootleg on Moon Cresta hardware)"
 1 drivfrcg          "Driving Force (Galaxian conversion)"
 1 drivfrcb          "Driving Force (Galaxian conversion bootleg)"
 1 bongo             "Bongo"
 4 hunchbkg          "Hunchback (Galaxian hardware)"
 1 harem             "Harem"
 1 tazzmang          "Tazz-Mania (bootleg on Galaxian hardware)"
 1 racknrol          "Rack + Roll"
 1 hexpool           "Hex Pool (Shinkai)"
 1 hexpoola          "Hex Pool (Senko)"
 1 trvchlng          "Trivia Challenge"
 1 luctoday          "Lucky Today"
 1 chewing           "Chewing Gum"
 1 catacomb          "Catacomb"
 1 ckongg            "Crazy Kong (bootleg on Galaxian hardware)"
 1 ckongmc           "Crazy Kong (bootleg on Moon Cresta hardware)"
12 porter            "Port Man (bootleg on Moon Cresta hardware)"
 1 vstars            "Video Stars"
 1 tdpgal            "Triple Draw Poker"
 1 rockclim          "Rock Climber"
 1 scramble          "Scramble"
 1 scrambles         "Scramble (Stern Electronics)"
 1 scramblebf        "Scramble (Karateko, French bootleg)"
 1 scramblebb        "Scramble (bootleg?)"
 1 scramblb          "Scramble (bootleg on Galaxian hardware)"
 1 scramb2           "Scramble (bootleg)"
 1 explorer          "Explorer"
 1 strfbomb          "Strafe Bomb"
 1 atlantis          "Battle of Atlantis (set 1)"
 1 atlantis2         "Battle of Atlantis (set 2)"
 1 theend            "The End"
 1 theends           "The End (Stern Electronics)"
 1 omega             "Omega"
 1 ckongs            "Crazy Kong (Scramble hardware)"
 1 froggers          "Frog"
 1 frogf             "Frog (Falcon bootleg)"
 1 amidars           "Amidar (Scramble hardware)"
 1 triplep           "Triple Punch"
 1 knockout          "Knock Out!!"
 1 mariner           "Mariner"
 1 800fath           "800 Fathoms"
 1 mars              "Mars"
 1 devilfsh          "Devil Fish"
 1 newsin7           "New Sinbad 7"
 1 mrkougar          "Mr. Kougar"
 1 mrkougar2         "Mr. Kougar (earlier)"
 1 mrkougb           "Mr. Kougar (bootleg set 1)"
 1 mrkougb2          "Mr. Kougar (bootleg set 2)"
 1 hotshock          "Hot Shocker"
 1 hotshockb         "Hot Shocker (early revision?)"
 1 conquer           "Conqueror"
 4 hunchbks          "Hunchback (Scramble hardware)"
 4 hncholms          "Hunchback Olympic (Scramble hardware)"
 1 cavelon           "Cavelon"
 1 sfx               "SF-X"
 1 skelagon          "Skelagon"
 1 monsterz          "Monster Zero"
 1 mimonscr          "Mighty Monkey (bootleg on Scramble hardware)"
 1 mimonkey          "Mighty Monkey"
 1 mimonsco          "Mighty Monkey (bootleg on Super Cobra hardware)"
 1 scobra            "Super Cobra"
 1 scobras           "Super Cobra (Stern Electronics)"
 1 scobrase          "Super Cobra (Sega)"
 1 scobrab           "Super Cobra (bootleg)"
 1 suprheli          "Super Heli (Super Cobra bootleg)"
 1 stratgyx          "Strategy X"
 1 stratgys          "Strategy X (Stern Electronics)"
 1 strongx           "Strong X"
 1 armorcar          "Armored Car (set 1)"
 1 armorcar2         "Armored Car (set 2)"
 1 moonwar           "Moonwar"
 1 moonwara          "Moonwar (older)"
 1 spdcoin           "Speed Coin (prototype)"
 1 darkplnt          "Dark Planet"
 1 tazmania          "Tazz-Mania (set 1)"
 1 tazmani2          "Tazz-Mania (set 2)"
 1 calipso           "Calipso"
 1 anteater          "Anteater"
 1 anteaterg         "Ameisenbaer (German)"
 1 anteateruk        "The Anteater (UK)"
 1 rescue            "Rescue"
 1 aponow            "Apocaljpse Now"
 1 minefld           "Minefield"
 1 losttomb          "Lost Tomb (easy)"
 1 losttombh         "Lost Tomb (hard)"
 1 superbon          "Agent Super Bond (Scobra Hardware)"
 1 hustler           "Video Hustler"
 1 hustlerd          "Video Hustler (Dynamo Games)"
 1 billiard          "The Billiards (Video Hustler bootleg)"
 1 hustlerb          "Video Hustler (bootleg)"
 1 hustlerb2         "Fatsy Gambler (Video Hustler bootleg)"
 1 frogger           "Frogger"
 1 froggers1         "Frogger (Sega set 1)"
 1 froggers2         "Frogger (Sega set 2)"
 1 froggermc         "Frogger (Moon Cresta hardware)"
 1 amidar            "Amidar"
 1 amidaru           "Amidar (Stern Electronics)"
 1 amidaro           "Amidar (Olympia)"
 1 amidarb           "Amidar (bootleg)"
 1 amigo             "Amigo"
 1 turtles           "Turtles"
 1 turpin            "Turpin"
 1 600               "600"
 1 flyboy            "Fly-Boy"
 1 flyboyb           "Fly-Boy (bootleg)"
 1 fastfred          "Fast Freddie"
 1 jumpcoas          "Jump Coaster"
 1 jumpcoast         "Jump Coaster (Taito)"
 1 boggy84           "Boggy '84"
 1 boggy84b          "Boggy '84 (bootleg)"
 1 redrobin          "Red Robin"
 1 imago             "Imago (cocktail set)"
 1 imagoa            "Imago (no cocktail set)"
 1 scorpion          "Scorpion (set 1)"
 1 scorpiona         "Scorpion (set 2)"
 1 scorpionb         "Scorpion (set 3)"
 1 aracnis           "Aracnis (bootleg of Scorpion on Moon Cresta hardware)"
 1 ad2083            "A. D. 2083"
 1 turpins           "Turpin (bootleg on Scramble hardware)"
 1 cclimber          "Crazy Climber (US)"
 1 cclimberj         "Crazy Climber (Japan)"
 1 ccboot            "Crazy Climber (bootleg set 1)"
 1 ccboot2           "Crazy Climber (bootleg set 2)"
 1 ckong             "Crazy Kong"
 1 ckongo            "Crazy Kong (Orca bootleg)"
 1 ckongalc          "Crazy Kong (Alca bootleg)"
 1 bigkong           "Big Kong"
 1 monkeyd           "Monkey Donkey"
 1 ckongpt2          "Crazy Kong Part II (set 1)"
 1 ckongpt2a         "Crazy Kong Part II (set 2)"
 1 ckongpt2j         "Crazy Kong Part II (Japan)"
 1 ckongpt2jeu       "Crazy Kong Part II (Jeutel bootleg)"
 1 ckongpt2b         "Crazy Kong Part II (alternative levels)"
 1 rpatrol           "River Patrol (Orca)"
 1 rpatrolb          "River Patrol (bootleg)"
 1 silvland          "Silver Land"
 1 yamato            "Yamato (US)"
 1 yamato2           "Yamato (World?)"
 1 toprollr          "Top Roller"
 1 swimmer           "Swimmer (set 1)"
 1 swimmera          "Swimmer (set 2)"
 1 swimmerb          "Swimmer (set 3)"
 1 guzzler           "Guzzler"
 1 cannonb           "Cannon Ball (bootleg on Crazy Kong hardware) (set 1, buggy)"
 1 cannonb2          "Cannon Ball (bootleg on Crazy Kong hardware) (set 2, buggy)"
 1 cannonb3          "Cannon Ball (bootleg on Crazy Kong hardware) (set 3, no bonus game)"
12 bagmanf           "Bagman (bootleg on Crazy Kong hardware)"
 1 gomoku            "Gomoku Narabe Renju"
 1 wiping            "Wiping"
 1 rugrats           "Rug Rats"
 1 dacholer          "Dacholer"
